is_hr,launch_angle,launch_speed,bat_speed,swing_length,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,14,73.9,69.2594432204662,7.66206,-0.81,1.96,9,0,0,1,0
0,6,104.6,69.958964256672715,7.63497,-0.11,3.03,9,0,0,0,0
0,-31,87.7,75.7332085401554,6.75095,-0.22,2.23,9,0,0,1,0
0,25,92.9,73.28100260284089,7.58858,-0.3,2.92,9,2,0,0,0
0,5,90.7,67.64741016702153,6.61407,-0.3,2.49,8,2,0,0,1
0,33,102,73.95903861569874,7.1518,-0.28,2.23,8,0,1,1,1
0,42,85.7,60.66573305931435,7.94487,0.82,2.44,8,2,1,0,0
0,4,111.9,77.32408496617715,6.82551,-0.37,2.39,8,2,0,0,0
0,-10,102.1,77.64070661058706,7.43832,0.55,1.51,7,2,2,0,1
0,49,83.9,65.28779794609478,6.74649,0.23,2.19,7,2,1,0,1
0,-22,88.8,71.04152788000839,6.74823,0.44,1.66,7,0,1,1,1
0,-69,66.2,84.41815684886049,8.69569,-0.16,1.32,7,1,1,1,0
0,45,48.6,63.894192232314616,6.30229,-1,2.97,7,0,1,0,0
0,12,65.7,77.09648776203939,6.8194,0.45,2.86,6,1,1,1,1
0,31,97.8,70.36376324938821,7.39583,-0.38,2.99,6,1,0,0,1
0,22,98.8,72.37551949660363,7.91651,0.26,1.97,6,0,0,0,1
0,3,106.7,74.39795136103116,7.76429,-0.46,2.21,6,1,2,1,1
0,-11,96.7,64.82934390602473,6.54744,-0.56,2.52,6,0,0,0,0
0,36,96.8,76.57107458868954,7.43499,-0.39,2.28,5,2,2,0,1
0,-10,94.1,71.95481757837737,6.05253,-0.6,2.21,5,1,1,0,1
0,47,95.1,72.77696253547724,7.38473,-0.2,1.76,5,0,0,0,1
0,-24,81,68.51167266794047,7.13948,-0.98,2.33,5,0,2,1,1
0,29,61.5,65.86403672525108,5.80974,-0.68,2.9,5,0,1,0,0
0,6,96.5,67.84001627865283,7.86302,0.68,2,5,0,1,0,0
0,31,94.6,74.21202418550916,8.23284,0.95,2.49,4,0,0,0,1
0,-13,101.1,79.720136849816015,8.5344,0.44,1.84,4,1,0,1,1
0,22,99.4,71.68921501889203,7.02781,0.18,3.28,4,1,1,0,0
0,4,82.2,65.93365830640457,6.32502,0.01,2.97,4,2,2,1,0
0,21,64.9,66.14232516989637,8.53073,1.46,2.02,4,2,2,0,0
0,15,104,73.16916640394204,7.44495,0.33,1.5,3,2,1,0,1
0,-5,75.9,51.8182592346953,7.16293,-0.9,2.02,3,0,1,1,1
0,-18,96,74.5190529623984,7.04299,0.1,2.42,3,2,1,1,0
0,-22,85.7,63.85946839809589,6.00954,-0.88,3,3,1,0,1,0
0,-30,78.8,64.57862529780253,6.54684,-0.5,2.81,3,0,1,0,0
0,53,67.7,64.29896428920708,7.01558,-0.77,2.07,2,0,1,0,1
0,23,103.8,74.22562124796322,6.92026,-0.56,3.01,2,2,0,1,1
0,17,86.1,74.1895715711922,7.48638,0.56,2.89,2,0,1,1,1
0,24,93.6,71.57819685483005,7.33943,0.05,2,2,0,0,0,1
0,23,83.8,71.57212816548775,7.14464,0.56,2.19,2,0,0,0,0
0,-19,64.1,64.81049526823692,7.30636,-0.58,1.29,2,0,2,1,0
0,16,107.6,75.25137470710047,7.85787,0.11,1.77,2,1,1,0,0
0,44,84.6,76.95683388518773,7.95296,-0.54,2.31,1,3,2,1,1
0,20,95.6,76.26071334559141,7.5303,-0.28,1.8,1,1,0,0,1
0,-37,92.8,81.35745307151998,7.45151,0.22,1.74,1,1,1,0,1
0,4,73.9,71.22339898448757,7.33377,-0.93,2.29,1,1,0,1,0
0,36,94.6,70.44908215788863,7.5928,0.54,2.44,1,0,2,1,0
0,7,90.7,68.92485391020605,6.61214,0.12,2.06,9,1,2,1,0
0,29,91.6,65.11804624574853,6.45951,-0.3,2.97,8,2,2,1,0
0,68,59.4,75.09973904602082,8.02699,-0.27,1.65,8,1,1,0,0
0,6,100.1,79.41066585921627,7.67245,0.31,2.5,8,1,0,0,0
0,64,81.5,73.17928258348564,7.14271,0.18,2.38,8,1,2,0,0
0,-37,80.5,65.71359279203675,6.92003,0.08,1.78,8,1,2,1,1
0,61,73.2,73.60026361805468,6.73535,-0.79,2.77,7,1,1,0,0
0,21,97.9,66.11855721656634,6.17579,-0.34,3.55,7,2,1,0,0
0,45,85,72.7243942124736,8.13311,0.01,1.64,7,0,1,1,0
0,55,91.4,76.83463564557479,7.66767,-0.53,2.14,7,0,0,1,1
