county,date,cases,cases_avg_new,cases_cume,cases_rate,cases_avg_new_rate,cases_cume_rate,deaths,deaths_avg_new,deaths_cume,population,deaths_rate,deaths_avg_new_rate,deaths_cume_rate,longitude,latitude
McKean,2020-04-01T00:00:00Z,0,0.1,1,0,0.4,2.5,0,0,0,40625,0,0,0,-78.5712202,41.81037074
Blair,2020-04-01T00:00:00Z,0,0.4,4,0,0.4,3.3,0,0,0,121829,0,0,0,-78.34907687,40.48555024
Chester,2020-04-01T00:00:00Z,23,17.9,208,4.4,3.4,39.6,1,0.1,1,524989,0.19,0.03,0.19,-75.75626498,39.97487056
Fayette,2020-04-01T00:00:00Z,1,1,15,0.8,0.8,11.6,0,0.1,1,129274,0,0.11,0.77,-79.65189635,39.9194478
Cumberland,2020-04-01T00:00:00Z,3,4.1,44,1.2,1.6,17.4,1,0.1,1,253370,0.39,0.06,0.39,-77.26866271,40.16759839
Dauphin,2020-04-01T00:00:00Z,9,8,69,3.2,2.9,24.8,0,0.1,1,278299,0,0.05,0.36,-76.77960568,40.41974636
Carbon,2020-04-01T00:00:00Z,3,3.6,27,4.7,5.6,42.1,0,0.1,1,64182,0,0.22,1.56,-75.71107039,40.91936701
Clinton,2020-04-01T00:00:00Z,0,0,0,0,0,0,0,0,0,38632,0,0,0,-77.642837599999993,41.23286274
Beaver,2020-04-01T00:00:00Z,1,6.7,59,0.6,4.1,36,1,0.4,3,163929,0.61,0.26,1.83,-80.35107356,40.68349245
Forest,2020-04-01T00:00:00Z,1,0.1,1,13.8,2,13.8,0,0,0,7247,0,0,0,-79.23780995,41.51357876
Cameron,2020-04-01T00:00:00Z,0,0.1,1,0,3.2,22.5,0,0,0,4447,0,0,0,-78.20916932,41.43880265
Franklin,2020-04-01T00:00:00Z,3,2.3,21,1.9,1.5,13.5,0,0,0,155027,0,0,0,-77.72398845,39.92786197
Bradford,2020-04-01T00:00:00Z,0,0.7,7,0,1.2,11.6,0,0,0,60323,0,0,0,-76.51825624,41.79117814
Elk,2020-04-01T00:00:00Z,0,0,0,0,0,0,0,0,0,29910,0,0,0,-78.64947713,41.42819416
Bucks,2020-04-01T00:00:00Z,58,37.3,371,9.2,5.9,59.1,1,1.1,8,628270,0.16,0.18,1.27,-75.11291241,40.33501133
Clarion,2020-04-01T00:00:00Z,0,0.6,4,0,1.5,10.4,0,0,0,38438,0,0,0,-79.42483608,41.19279129
Columbia,2020-04-01T00:00:00Z,3,1.1,11,4.6,1.8,16.9,0,0,0,64964,0,0,0,-76.4100218,41.04912086
Cambria,2020-04-01T00:00:00Z,1,0.4,4,0.8,0.3,3.1,0,0,0,130192,0,0,0,-78.71894174,40.49127491
Erie,2020-04-01T00:00:00Z,1,2.1,20,0.4,0.8,7.4,0,0,0,269728,0,0,0,-80.0407591,41.99413787
Crawford,2020-04-01T00:00:00Z,0,0.6,5,0,0.7,5.9,0,0,0,84629,0,0,0,-80.11321083,41.68546907
Centre,2020-04-01T00:00:00Z,1,2.7,29,0.6,1.7,17.9,0,0,0,162385,0,0,0,-77.82500112,40.9193135
Adams,2020-04-01T00:00:00Z,6,1.6,18,5.8,1.5,17.5,0,0,0,103009,0,0,0,-77.22224271,39.87209565
Armstrong,2020-04-01T00:00:00Z,2,0.9,7,3.1,1.3,10.8,0,0,0,64735,0,0,0,-79.47316899,40.81509526
Allegheny,2020-04-01T00:00:00Z,65,41.4,421,5.3,3.4,34.6,1,0.1,2,1216045,0.08,0.01,0.16,-79.98619843,40.46735543
Delaware,2020-04-01T00:00:00Z,80,46.6,479,14.1,8.2,84.5,3,0.9,10,566747,0.53,0.15,1.76,-75.40627712,39.91657867
Butler,2020-04-01T00:00:00Z,5,7.3,70,2.7,3.9,37.3,0,0,1,187853,0,0,0.53,-79.91711779,40.91083185
Bedford,2020-04-01T00:00:00Z,0,0.4,3,0,0.9,6.3,0,0,0,47888,0,0,0,-78.49116474,40.00737536
Berks,2020-04-01T00:00:00Z,18,19.1,170,4.3,4.5,40.4,1,0.3,2,421164,0.24,0.07,0.47,-75.93077327,40.41939635
Clearfield,2020-04-01T00:00:00Z,0,0.3,4,0,0.4,5,0,0,0,79255,0,0,0,-78.47558343,41.000429
Luzerne,2020-04-01T00:00:00Z,101,50,387,31.8,15.8,121.9,0,0.4,4,317417,0,0.14,1.26,-75.9919961,41.17836439
Schuylkill,2020-04-01T00:00:00Z,7,6.4,54,5,4.5,38.2,0,0,0,141359,0,0,0,-76.22332385,40.70751243
Greene,2020-04-01T00:00:00Z,2,1.1,11,5.5,3.2,30.4,0,0,0,36233,0,0,0,-80.22943817,39.85480393
Montour,2020-04-01T00:00:00Z,2,1.6,14,11,8.6,76.8,0,0,0,18230,0,0,0,-76.66470527,41.02801824
Mifflin,2020-04-01T00:00:00Z,0,0.1,1,0,0.3,2.2,0,0,0,46138,0,0,0,-77.62003089,40.61274928
Potter,2020-04-01T00:00:00Z,0,0.1,2,0,0.9,12.1,0,0,0,16526,0,0,0,-77.89879229,41.74420644
Northumberland,2020-04-01T00:00:00Z,2,1.3,9,2.2,1.4,9.9,0,0,0,90843,0,0,0,-76.71188423,40.85150926
Lehigh,2020-04-01T00:00:00Z,70,55.9,461,19,15.1,124.8,0,0.4,4,369318,0,0.12,1.08,-75.60099481,40.61464794
Lebanon,2020-04-01T00:00:00Z,8,5.4,43,5.6,3.8,30.3,0,0,0,141793,0,0,0,-76.46182575,40.367597
Indiana,2020-04-01T00:00:00Z,0,0.6,6,0,0.7,7.1,0,0,0,84073,0,0,0,-79.09333493,40.65295497
Mercer,2020-04-01T00:00:00Z,1,0.9,9,0.9,0.8,8.2,0,0,0,109424,0,0,0,-80.26009411,41.30237777
Perry,2020-04-01T00:00:00Z,2,0.4,3,4.3,0.9,6.5,0,0,0,46272,0,0,0,-77.25907385,40.40415317
Pike,2020-04-01T00:00:00Z,12,7.7,70,21.5,13.8,125.4,0,0,1,55809,0,0,1.79,-75.03270924,41.332572
Philadelphia,2020-04-01T00:00:00Z,319,204.3,1881,20.1,12.9,118.7,5,4,30,1584064,0.32,0.25,1.89,-75.140236,40.00444354
Northampton,2020-04-01T00:00:00Z,73,46.9,388,23.9,15.3,127.1,0,1,11,305285,0,0.33,3.6,-75.31263726,40.7545954
Monroe,2020-04-01T00:00:00Z,49,37.4,330,28.8,22,193.8,1,1,10,170271,0.59,0.59,5.87,-75.34083603,41.06091787
Jefferson,2020-04-01T00:00:00Z,0,0,0,0,0,0,0,0,0,43425,0,0,0,-79.00101814,41.13139091
Lawrence,2020-04-01T00:00:00Z,3,2.3,19,3.5,2.7,22.2,0,0.3,2,85512,0,0.33,2.34,-80.33754114,40.99325035
Lackawanna,2020-04-01T00:00:00Z,22,11.4,108,10.5,5.5,51.5,0,0,2,209674,0,0,0.95,-75.61218345,41.43910064
Juniata,2020-04-01T00:00:00Z,0,0.1,2,0,0.6,8.1,0,0,0,24763,0,0,0,-77.405775,40.53433008
Montgomery,2020-04-01T00:00:00Z,89,65.6,743,10.7,7.9,89.4,4,1.6,14,830915,0.48,0.19,1.68,-75.37252001,40.20989874
Huntingdon,2020-04-01T00:00:00Z,1,0.3,2,2.2,0.6,4.4,0,0,0,45144,0,0,0,-77.9827661,40.416105
Fulton,2020-04-01T00:00:00Z,0,0,0,0,0,0,0,0,0,14530,0,0,0,-78.11485045,39.92487511
Lycoming,2020-04-01T00:00:00Z,0,0.7,6,0,0.6,5.3,0,0,0,113299,0,0,0,-77.06942457,41.34459792
Lancaster,2020-04-01T00:00:00Z,44,25.9,201,8.1,4.7,36.8,1,0.6,4,545724,0.18,0.1,0.73,-76.25138768,40.04590796
Wayne,2020-04-01T00:00:00Z,2,1.3,14,3.9,2.5,27.3,0,0,0,51361,0,0,0,-75.3051535,41.64969805
