county,date,icu_avail,icu_total,med_avail,med_total,ped_avail,ped_total,pic_avail,pic_total,covid_patients,covid_vents,vents_use,vents,icu_avail_mean,icu_total_mean,med_avail_mean,med_total_mean,ped_avail_mean,ped_total_mean,pic_avail_mean,pic_total_mean,covid_patients_mean,covid_vents_mean,vents_use_mean,vents_mean,icu_percent,med_percent,ped_percent,pic_percent,covid_icu,covid_icu_mean,county_fips,latitude,longitude
Fayette,2020-04-01T00:00:00Z,2,15,102,139,0,0,0,0,1,1,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,73.4,NA,NA,NA,NA,42051,39.9194478,-79.65189635
Berks,2020-04-01T00:00:00Z,31,54,159,276,13,20,0,0,15,2,24,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4,57.6,65,NA,NA,NA,42011,40.41939635,-75.93077327
Centre,2020-04-01T00:00:00Z,10,12,88,92,6,6,0,0,0,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3,95.7,100,NA,NA,NA,42027,40.9193135,-77.82500112
Bradford,2020-04-01T00:00:00Z,6,20,145,159,0,0,0,0,1,0,10,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,91.2,NA,NA,NA,NA,42015,41.79117814,-76.51825624
Armstrong,2020-04-01T00:00:00Z,3,6,10,28,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,35.7,NA,NA,NA,NA,42005,40.81509526,-79.47316899
Cambria,2020-04-01T00:00:00Z,17,25,159,241,6,7,0,0,1,0,10,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,66,85.7,NA,NA,NA,42021,40.49127491,-78.71894174
Adams,2020-04-01T00:00:00Z,5,10,16,45,0,0,0,0,1,0,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,35.6,NA,NA,NA,NA,42001,39.87209565,-77.22224271
Beaver,2020-04-01T00:00:00Z,3,16,16,84,0,0,0,0,2,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,19,NA,NA,NA,NA,42007,40.68349245,-80.35107356
Chester,2020-04-01T00:00:00Z,59,110,269,523,8,0,0,0,22,10,23,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,51.4,NA,NA,NA,NA,42029,39.97487056,-75.75626498
Butler,2020-04-01T00:00:00Z,10,14,79,91,0,0,0,0,6,3,9,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.4,86.8,NA,NA,NA,NA,42019,40.91083185,-79.91711779
Clarion,2020-04-01T00:00:00Z,1,5,11,25,0,0,0,0,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,44,NA,NA,NA,NA,42031,41.19279129,-79.42483608
