shot_x,shot_y,shot_distance,shot_type,scoring_play,score_value
-10,24,26,Pullup Jump Shot,FALSE,0
11,23,25.495097567963924,Running Jump Shot,TRUE,3
2,2,2.8284271247461903,Cutting Layup Shot,FALSE,0
-13,21,24.698178070456937,Jump Shot,FALSE,0
-18,19,26.1725046566048,Step Back Jump Shot,TRUE,3
19,16,24.839484696748443,Jump Shot,FALSE,0
-1,3,3.1622776601683795,Cutting Layup Shot,TRUE,2
0,2,2,Layup Shot,FALSE,0
-1,4,4.123105625617661,Cutting Layup Shot,FALSE,0
-12,5,13,Turnaround Jump Shot,FALSE,0
-1,2,2.23606797749979,Driving Layup Shot,FALSE,0
-14,21,25.238858928247925,Running Jump Shot,TRUE,3
-7,26,26.92582403567252,Jump Shot,FALSE,0
-4,14,14.560219778561036,Pullup Jump Shot,TRUE,2
0,7,7,Floating Jump Shot,FALSE,0
-23,6,23.769728648009426,Jump Shot,TRUE,3
-15,19,24.20743687382041,Running Jump Shot,TRUE,3
-4,5,6.4031242374328485,Driving Floating Bank Jump Shot,FALSE,0
18,19,26.1725046566048,Jump Shot,FALSE,0
-22,5,22.561028345356956,Jump Shot,FALSE,0
16,20,25.612496949731394,Pullup Jump Shot,FALSE,0
1,3,3.1622776601683795,Driving Layup Shot,FALSE,0
-2,1,2.23606797749979,Driving Layup Shot,FALSE,0
-14,22,26.076809620810597,Pullup Jump Shot,FALSE,0
-17,20,26.248809496813376,Jump Shot,TRUE,3
21,13,24.698178070456937,Jump Shot,FALSE,0
-6,18,18.973665961010276,Pullup Jump Shot,FALSE,0
-1,5,5.0990195135927845,Layup Driving Reverse,FALSE,0
10,23,25.079872407968907,Pullup Jump Shot,FALSE,0
-9,4,9.848857801796104,Driving Floating Jump Shot,FALSE,0
23,1,23.021728866442675,Jump Shot,TRUE,3
-7,26,26.92582403567252,Pullup Bank Jump Shot,FALSE,0
-20,15,25,Jump Shot,FALSE,0
-23,1,23.021728866442675,Jump Shot,TRUE,3
-21,12,24.186773244895647,Jump Shot,FALSE,0
-5,29,29.427877939124322,Running Pullup Jump Shot,TRUE,3
4,3,5,Driving Layup Shot,FALSE,0
-13,23,26.419689627245813,Running Pullup Jump Shot,FALSE,0
-16,21,26.40075756488817,Jump Shot,FALSE,0
18,21,27.65863337187866,Jump Shot,FALSE,0
0,17,17,Pullup Jump Shot,TRUE,2
-22,16,27.202941017470888,Jump Shot,FALSE,0
-9,22,23.769728648009426,Jump Shot,FALSE,0
3,14,14.317821063276353,Pullup Jump Shot,TRUE,2
-3,2,3.605551275463989,Layup Shot,TRUE,2
-23,0,23,Jump Shot,FALSE,0
14,24,27.784887978899608,Jump Shot,TRUE,3
-8,27,28.160255680657446,Jump Shot,FALSE,0
-14,14,19.79898987322333,Jump Shot,FALSE,0
2,3,3.605551275463989,Driving Layup Shot,FALSE,0
-17,18,24.758836806279895,Jump Shot,TRUE,3
-17,20,26.248809496813376,Jump Shot,TRUE,3
18,20,26.90724809414742,Jump Shot,TRUE,3
-2,1,2.23606797749979,Driving Finger Roll Layup,TRUE,2
-2,1,2.23606797749979,Driving Layup Shot,FALSE,0
-16,24,28.844410203711913,Running Jump Shot,FALSE,0
5,30,30.4138126514911,Jump Shot,FALSE,0
