State,PriorBirthsNowDeceased,TobaccoUse,PrePregnancyDiabetes,PrePregnancyHypertension,Births,AverageMotherAge,AverageBirthWeight,AveragePrePregnancyBMI,AverageNumberPrenatalVisits,AverageIntervalSinceLastBirth,id
Alabama,0,Yes,Yes,Yes,12,29.33,2494.5,36.2,12.08,63.1,1
Alabama,0,Yes,Yes,No,50,29.1,3138.08,32.83,10.73,58.06,2
Alabama,0,Yes,No,Yes,149,29.98,2796.95,33.35,10.19,62.3,3
Alabama,0,Yes,No,No,4454,26.87,3030.43,27.27,9.28,52.26,4
Alabama,0,No,Yes,Yes,160,32.08,2889.12,38.3,13.03,78.38,5
Alabama,0,No,Yes,No,467,29.46,3237.01,32.5,12.55,62.3,6
Alabama,0,No,No,Yes,1691,30.19,2918.69,34.58,11.51,64.97,7
Alabama,0,No,No,No,50834,27.36,3207.22,28.11,10.46,49.64,8
Alabama,0,Unknown,No,No,136,27.15,3071.48,28.04,9.31,55.79,9
Alabama,1,Yes,No,No,69,28.64,3142.12,27.51,9.86,43.23,10
Alabama,1,No,No,Yes,28,30.82,2589.75,37.42,11.82,47.93,11
Alabama,1,No,No,No,393,29.02,3047.97,30.02,10.61,44.98,12
Alabama,2,No,No,No,47,29.6,3106.74,28.75,10.98,57.33,13
Alabama,Unknown,No,No,No,69,28.28,3312.65,24.08,9.33,NA,14
Alaska,0,Yes,No,Yes,46,31.98,3085.93,36.58,12.58,70.06,15
Alaska,0,Yes,No,No,802,27.8,3235.27,27.27,9.84,53.45,16
Alaska,0,Yes,Unknown,Unknown,17,28.76,3164.71,27.29,3.67,53.38,17
Alaska,0,No,Yes,Yes,17,32.71,3079.94,43.85,12.8,45.7,18
Alaska,0,No,Yes,No,61,32.31,3510.98,34.28,13.96,52.57,19
Alaska,0,No,No,Yes,257,30.79,3205.08,32.96,13.41,53.5,20
Alaska,0,No,No,No,8035,28.69,3411.22,27.19,11.02,44.52,21
Alaska,0,No,Unknown,Unknown,50,28.54,3372.16,26.36,7.09,47.52,22
Alaska,0,Unknown,No,Yes,12,29.92,3123.33,32.38,14.58,64,23
Alaska,0,Unknown,No,No,224,28.47,3300.09,28.15,9.18,55.82,24
Alaska,1,Yes,No,No,26,30.73,3119.92,25.78,10.81,48.19,25
Alaska,1,No,No,No,102,29.59,3347.09,29.5,10.83,43.86,26
Alaska,2,No,No,No,12,29.83,3593.25,26.96,12.58,30.3,27
Alaska,Unknown,No,No,No,88,28.34,3594.76,25.31,11.56,39.44,28
Arizona,0,Yes,Yes,No,27,31.63,3006.93,32.73,7.12,81.05,29
Arizona,0,Yes,No,Yes,60,32.58,2781.25,30.72,10.09,69.8,30
Arizona,0,Yes,No,No,3373,28.28,3094.3,26.83,8.77,56.42,31
Arizona,0,No,Yes,Yes,102,33.69,3108.08,36.49,12.49,71.72,32
Arizona,0,No,Yes,No,724,30.82,3395.46,32.32,11.44,63.14,33
Arizona,0,No,No,Yes,1007,31.5,3068.02,33.68,11.73,65.84,34
Arizona,0,No,No,No,73188,28.39,3291.84,27.24,10.65,49.88,35
Arizona,0,Unknown,No,No,66,27.86,2876.89,27.11,5.18,61.47,36
Arizona,1,Yes,No,No,48,29.69,3008.15,26.06,8.68,47.33,37
Arizona,1,No,Yes,No,12,32.75,3429.36,30.72,15.33,63.73,38
Arizona,1,No,No,Yes,20,32.15,2927,35.2,14.45,60.55,39
Arizona,1,No,No,No,612,30.55,3185.65,29.06,10.12,48.94,40
Arizona,2,No,No,No,42,31.21,3193.29,29.71,10.83,53.44,41
Arizona,Unknown,No,No,No,34,28.41,3253.03,26.57,7.78,50.56,42
Arizona,Unknown,Unknown,No,No,12,28.42,2227.83,35.95,0,21,43
Arkansas,0,Yes,Yes,No,32,29.84,3401.38,33.02,13.31,47.26,44
Arkansas,0,Yes,No,Yes,144,30.41,2939.95,32.57,10.35,71.78,45
Arkansas,0,Yes,No,No,4000,26.66,3085.91,27.56,9.17,51.5,46
Arkansas,0,No,Yes,Yes,64,33.16,3249.73,38.99,14.19,96.95,47
Arkansas,0,No,Yes,No,228,29.57,3353.04,33.39,12.6,62.19,48
Arkansas,0,No,No,Yes,649,29.73,3032.65,35.99,12.18,63.98,49
Arkansas,0,No,No,No,30063,26.98,3252.62,28.21,10.76,48.31,50
Arkansas,0,Unknown,No,No,527,26.6,3027.55,28.46,9.46,51.88,51
Arkansas,1,Yes,No,No,142,28.75,3027.67,28.09,8.01,42.69,52
Arkansas,1,No,Yes,No,12,30.42,3135,31.51,13.25,69.75,53
Arkansas,1,No,No,Yes,12,32.33,3407.83,34.92,13.33,55.8,54
Arkansas,1,No,No,No,478,28.85,3122.47,30.2,10.65,46.69,55
Arkansas,1,Unknown,No,No,21,31.1,2431.29,26.57,8.05,39.93,56
Arkansas,2,Yes,No,No,23,28.65,2989.48,28.76,10.05,55.44,57
Arkansas,2,No,No,No,77,29.29,2890.71,28.61,10.75,42.77,58
Arkansas,3,No,No,No,18,30.5,3062.33,30.04,8.67,49.67,59
Arkansas,Unknown,No,No,No,14,27.64,3049.29,27.22,10.25,56,60
California,0,Yes,Yes,No,38,31.68,3403.18,33.99,9.63,48.73,61
California,0,Yes,No,Yes,99,32.13,2884.45,31.97,10.49,61.4,62
California,0,Yes,No,No,4651,29.09,3093.57,26.68,9.02,60.58,63
California,0,No,Yes,Yes,369,34.44,2989.44,35.69,15.63,74.74,64
California,0,No,Yes,No,2936,32.38,3338.31,31,14.25,65.34,65
California,0,No,No,Yes,4752,32.59,3045.06,32.69,13.37,68.22,66
California,0,No,No,No,426990,30.14,3287.98,26.77,11.91,54.44,67
California,0,No,Unknown,Unknown,309,33.44,3464.62,23.81,11.3,43.88,68
California,0,Unknown,Yes,No,16,31.5,3077.88,35.14,11.44,69.75,69
California,0,Unknown,No,Yes,25,31.16,3001.92,30.96,8.6,66.75,70
California,0,Unknown,No,No,1898,30.33,3156.83,26.6,10.12,56.13,71
California,0,Unknown,Unknown,Unknown,12,32.92,2966.58,31.34,4.5,24,72
California,1,Yes,No,No,108,30.38,3012.24,27.98,7.79,54.91,73
California,1,No,Yes,Yes,13,36.38,2975.46,33.5,14,88.46,74
California,1,No,Yes,No,47,32.64,3372.09,32.73,13.19,62.93,75
California,1,No,No,Yes,63,34.1,2684.52,33.83,12.86,54.76,76
California,1,No,No,No,3262,31.72,3163.47,28.48,12.3,53.98,77
California,1,Unknown,No,No,25,30.56,3194.16,29.75,7.71,66.25,78
California,2,Yes,No,No,15,31.27,3032.33,25.98,9.54,66.67,79
California,2,No,No,No,413,32.13,3214.57,28.38,13.01,55.87,80
California,2,Unknown,No,No,10,33.9,2930,27.86,7.5,57.33,81
California,3,No,No,No,93,32.63,3097.28,28.52,12,59.59,82
California,4,No,No,No,27,32.37,3144.33,26.97,12.96,46.96,83
California,5,No,No,No,11,31.91,3442.73,26.18,11.11,79,84
California,Unknown,No,No,No,91,32.37,3198.29,27.19,8.38,57.92,85
