player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Precious Achiuwa,C,22,TOR,73,28,1725,265,603,56,156,209,447,78,131,146,327,82,37,41,84,151
Steven Adams,C,28,MEM,76,75,1999,210,384,0,1,210,383,108,199,349,411,256,65,60,115,153
Bam Adebayo,C,24,MIA,56,56,1825,406,729,0,6,406,723,256,340,137,427,190,80,44,148,171
Santi Aldama,PF,21,MEM,32,0,360,53,132,6,48,47,84,20,32,33,54,21,6,10,16,36
LaMarcus Aldridge,C,36,BRK,47,12,1050,252,458,14,46,238,412,89,102,73,185,42,14,47,44,78
Nickeil Alexander-Walker,SG,23,NOP,50,19,1317,237,632,95,305,142,327,70,97,36,128,139,41,19,85,88
Nickeil Alexander-Walker,SG,23,UTA,15,2,149,16,48,10,33,6,15,11,12,1,22,17,5,4,8,15
Grayson Allen,SG,26,MIL,66,61,1805,255,569,159,389,96,180,64,74,32,190,100,46,18,43,96
Jarrett Allen,C,23,CLE,56,56,1809,369,545,1,10,368,535,165,233,192,410,92,44,75,94,97
Jose Alvarado,PG,23,NOP,54,1,834,131,294,32,110,99,184,36,53,25,75,152,71,7,40,73
Justin Anderson,SF,28,CLE,3,0,47,4,8,2,6,2,2,3,4,0,6,6,1,0,2,4
Justin Anderson,SF,28,IND,13,6,269,32,87,13,53,19,34,12,15,4,36,27,7,6,6,18
Kyle Anderson,PF,28,MEM,69,11,1484,209,469,36,109,173,360,67,105,69,299,183,77,45,71,108
Giannis Antetokounmpo,PF,27,MIL,67,67,2204,689,1245,71,242,618,1003,553,766,134,644,388,72,91,219,212
Thanasis Antetokounmpo,SF,29,MIL,48,6,473,70,128,2,14,68,114,29,46,40,61,22,16,12,26,68
Carmelo Anthony,PF,37,LAL,69,3,1793,319,723,149,397,170,326,132,159,62,226,68,47,52,59,166
Cole Anthony,PG,21,ORL,65,65,2059,357,912,132,391,225,521,216,253,32,316,369,46,17,170,171
OG Anunoby,SF,24,TOR,48,48,1728,309,697,115,317,194,380,89,118,74,190,125,71,25,80,131
Ryan Arcidiacono,PG,27,NYK,10,0,76,6,12,4,9,2,3,0,0,0,8,4,1,0,3,5
Trevor Ariza,SF,36,LAL,24,11,462,33,99,20,74,13,25,10,18,10,72,27,13,6,11,20
D.J. Augustin,PG,34,HOU,34,2,510,55,136,39,96,16,40,33,38,7,34,74,10,0,45,17
D.J. Augustin,PG,34,LAL,21,0,373,39,86,29,68,10,18,5,5,4,23,33,7,1,11,22
