rk,player,pos,age,tm,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,x,ortg,drtg,link
1,Precious Achiuwa,PF-C,24,TOT,74,18,1624,7.2,14.4,0.501,0.8,3,0.268,6.4,11.4,0.562,2.1,3.4,0.616,5.9,9.1,14.9,3,1.4,2.1,2.5,4.4,17.3,NA,114,112,/players/a/achiupr01.html
2,Bam Adebayo,C,26,MIA,71,71,2416,10.9,21,0.521,0.3,0.9,0.357,10.6,20.1,0.528,6,8,0.755,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,NA,115,109,/players/a/adebaba01.html
3,Ochai Agbaji,SG,23,TOT,78,28,1641,5.2,12.7,0.411,1.8,6.2,0.294,3.4,6.5,0.523,1.1,1.6,0.661,2.2,4.2,6.4,2.4,1.4,1.3,1.9,3.4,13.4,NA,102,121,/players/a/agbajoc01.html
4,Santi Aldama,PF,23,MEM,61,35,1618,7.5,17.2,0.435,3.2,9.2,0.349,4.3,8,0.534,1.6,2.6,0.621,2.2,8.5,10.6,4.2,1.3,1.6,2.1,2.7,19.8,NA,109,114,/players/a/aldamsa01.html
5,Nickeil Alexander-Walker,SG,25,MIN,82,20,1921,6.1,13.8,0.439,3.4,8.6,0.391,2.7,5.2,0.517,1.3,1.7,0.8,0.9,3.4,4.3,5.2,1.6,1.1,2,3.7,16.9,NA,115,111,/players/a/alexani01.html
6,Grayson Allen,SG,28,PHO,75,74,2513,6.6,13.3,0.499,4,8.6,0.461,2.6,4.6,0.57,2.5,2.9,0.878,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,NA,130,117,/players/a/allengr01.html
7,Jarrett Allen,C,25,CLE,77,77,2442,10.5,16.6,0.634,0,0.1,0,10.5,16.4,0.638,4.7,6.4,0.742,4.9,11.5,16.4,4.2,1.1,1.6,2.4,3,25.7,NA,131,110,/players/a/allenja01.html
9,Jose Alvarado,PG,25,NOP,56,0,1028,6.8,16.5,0.412,3.7,9.9,0.377,3.1,6.6,0.464,1.7,2.5,0.673,1.2,4.9,6.1,5.6,2.8,0.7,1.9,4.2,18.9,NA,112,112,/players/a/alvarjo01.html
10,Kyle Anderson,PF,30,MIN,79,10,1782,5.5,12,0.46,0.3,1.3,0.229,5.2,10.7,0.488,2.7,3.8,0.708,1.7,5.9,7.6,9.2,2,1.3,2.5,3.6,14,NA,114,109,/players/a/anderky01.html
11,Giannis Antetokounmpo,PF,29,MIL,73,73,2567,15.7,25.6,0.611,0.6,2.3,0.274,15,23.3,0.645,9.6,14.6,0.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,NA,126,112,/players/a/antetgi01.html
