player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Precious Achiuwa,C,24,TOR,25,0,437,78,170,13,47,65,123,24,42,50,86,44,16,12,29,40,193
Precious Achiuwa,PF,24,NYK,49,18,1187,157,299,13,50,144,249,45,70,141,210,53,30,56,54,103,372
Bam Adebayo,C,26,MIA,71,71,2416,530,1017,15,42,515,975,292,387,159,578,278,81,66,162,159,1367
Ochai Agbaji,SG,23,UTA,51,10,1003,106,249,47,142,59,107,15,20,35,91,47,27,29,34,66,274
Ochai Agbaji,SG,23,TOR,27,18,638,72,184,15,69,57,115,22,36,39,51,36,20,15,30,51,181
Santi Aldama,PF,23,MEM,61,35,1618,247,568,106,304,141,264,54,87,72,280,138,43,54,69,89,654
Nickeil Alexander-Walker,SG,25,MIN,82,20,1921,236,538,131,335,105,203,52,65,35,132,204,64,42,76,143,655
Grayson Allen,SG,28,PHO,75,74,2513,340,682,205,445,135,237,129,147,48,247,227,69,45,95,157,1014
Jarrett Allen,C,25,CLE,77,77,2442,519,819,0,6,519,813,233,314,243,568,210,53,81,121,147,1271
Timmy Allen,SF,24,MEM,5,0,125,6,23,0,7,6,16,1,2,4,13,5,4,0,2,18,13
Jose Alvarado,PG,25,NOP,56,0,1028,142,345,78,207,64,138,35,52,25,103,117,59,15,40,89,397
Kyle Anderson,PF,30,MIN,79,10,1782,199,433,11,48,188,385,97,137,60,213,331,71,47,91,128,506
Giannis Antetokounmpo,PF,29,MIL,73,73,2567,837,1369,34,124,803,1245,514,782,196,645,476,87,79,250,210,2222
Thanasis Antetokounmpo,PF,31,MIL,34,0,155,16,30,0,1,16,29,0,2,7,6,17,7,4,14,24,32
Cole Anthony,PG,23,ORL,81,0,1817,332,763,93,275,239,488,180,218,64,247,236,64,37,126,175,937
OG Anunoby,SF,26,TOR,27,27,900,157,321,61,163,96,158,33,46,24,82,72,28,13,43,62,408
OG Anunoby,SF,26,NYK,23,23,802,125,256,41,104,84,152,34,43,23,79,35,40,23,38,57,325
Ryan Arcidiacono,PG,29,NYK,20,0,45,0,6,0,6,0,0,0,0,0,8,4,2,0,2,5,0
Deni Avdija,SF,23,WAS,75,75,2257,406,803,88,235,318,568,202,273,84,456,286,60,36,160,185,1102
Deandre Ayton,C,25,POR,55,55,1784,427,749,1,10,426,739,65,79,176,433,90,56,42,99,109,920
Udoka Azubuike,C,24,PHO,16,0,113,16,23,0,0,16,23,3,13,11,21,3,1,6,4,17,35
Ibou Badji,C,21,POR,22,1,226,14,22,0,0,14,22,6,12,20,31,13,3,20,15,46,34
Marvin Bagley III,C,24,DET,26,10,478,107,181,1,6,106,175,50,61,46,72,27,5,14,29,40,265
Marvin Bagley III,C,24,WAS,24,15,575,132,227,8,17,124,210,46,65,84,110,28,15,19,30,41,318
Amari Bailey,PG,19,CHO,10,0,65,8,24,1,8,7,16,6,7,6,3,7,3,0,4,2,23
Patrick Baldwin Jr.,SF,21,WAS,38,7,493,59,155,31,97,28,58,19,28,17,106,29,18,15,19,56,168
LaMelo Ball,PG,22,CHO,22,22,711,183,423,70,197,113,226,90,104,29,84,176,40,4,83,79,526
Mo Bamba,C,25,PHI,57,17,740,97,198,25,64,72,134,34,50,77,161,41,22,60,39,101,253
Paolo Banchero,PF,21,ORL,80,80,2799,640,1407,119,351,521,1056,405,559,82,472,431,71,47,247,153,1804
Desmond Bane,SG,25,MEM,42,42,1443,360,776,137,360,223,416,140,161,36,149,230,43,22,112,120,997
