County,Population,PercentUnder18,PercentOver65,DiabeticRate,HIVRate,PrematureMortalityRate,InfantMortalityRate,ChildMortalityRate,LimitedAccessToFood,FoodInsecure,MotorDeathRate,DrugDeathRate,Uninsured,UninsuredChildren,HealthCareCosts,CouldNotSeeDr,MedianIncome,ChildrenFreeLunch,HomicideRate
Tooele,59870,35.3,7.9,9,37,347.6,5,47.7,14,7,18,18,17,10,9095,13,61927,34,NA
Uintah,34524,33.6,9.1,8,21,396.2,5.2,57.4,14,5,23,13,24,16,7086,12,60419,36,NA
Wasatch,25273,33.1,9.1,6,28,227.2,NA,69,14,1,16,17,24,16,8327,13,62014,30,NA
Statewide,2855287,31.1,9.5,7,111,286.7,5,52.9,17,5,11,17,20,11,8925,13,57067,31,2
Sanpete,27906,29.4,12.3,8,22,314.3,NA,61.2,17,4,18,16,24,15,8942,13,43921,38,NA
Piute,1524,27.8,23.7,10,NA,445.8,NA,NA,15,41,NA,NA,26,17,7824,NA,36403,58,NA
Kane,7221,23.4,20.5,10,NA,293.6,NA,NA,14,16,21,26,19,12,8121,NA,43128,31,NA
Duchesne,19244,33.6,11,8,NA,410.3,NA,70.4,14,8,36,18,23,14,8527,13,57945,34,NA
Weber,236640,29.7,10.6,8,72,328.1,5.8,58.5,16,6,10,20,20,12,8942,11,54169,37,2
Iron,46750,29.6,10.6,7,36,320.9,7.1,64,19,12,13,18,26,15,8266,13,41804,40,NA
Morgan,9821,34.3,11.3,7,NA,210.5,NA,NA,11,0,NA,NA,14,10,7711,13,75348,12,NA
Wayne,2737,28.1,17.6,9,NA,277.9,NA,NA,18,14,NA,NA,26,20,8021,NA,40185,33,NA
Davis,315809,33.8,8.7,6,54,251.9,4.3,50.8,13,4,7,15,15,7,8977,9,69019,19,1
Summit,38003,26.8,8.8,4,77,190,NA,40.1,13,4,13,12,17,11,8010,11,84672,18,NA
Carbon,21246,26.9,14.2,9,NA,423.5,NA,63.1,16,8,22,30,17,9,8222,17,47214,44,NA
Grand,9328,23,14.6,6,NA,406.7,NA,NA,18,7,31,26,27,15,6739,13,42702,39,NA
Daggett,1090,22.4,21.1,9,NA,NA,NA,NA,16,34,NA,NA,20,16,7324,NA,50911,19,NA
Emery,10933,31.5,13.2,8,NA,358.8,NA,NA,14,12,13,28,18,11,7506,15,51819,36,NA
Box Elder,50171,33.2,11.8,8,48,281.3,6,54.1,15,4,18,13,18,9,7875,13,53830,31,NA
Salt Lake,1063842,28.8,9.1,7,220,301.5,5.3,54.2,15,3,10,20,20,11,9122,14,58743,35,3
Millard,12569,31.3,15.4,8,NA,284.4,NA,NA,14,12,21,14,26,15,7586,12,48472,39,NA
Utah,540504,34.8,6.8,6,33,247.8,4.6,48.7,16,6,8,15,20,11,9781,14,58167,27,1
San Juan,14965,32.4,11.4,9,NA,314.5,NA,60.7,21,27,40,NA,28,16,8776,15,38329,61,NA
Rich,2267,30.6,16.4,9,NA,NA,NA,NA,12,33,NA,NA,20,16,7764,NA,53643,56,NA
Beaver,6501,32.3,12.9,9,NA,392.9,NA,NA,17,5,36,NA,24,15,8208,NA,46309,32,NA
Sevier,20784,31.3,15.3,10,NA,382.2,8.2,52.9,15,1,18,17,23,11,8869,12,45243,38,NA
Juab,10341,36.2,10.9,7,NA,434.5,NA,66.1,16,13,24,25,19,12,9576,13,51823,30,NA
Garfield,5095,26.5,17.9,9,NA,235,NA,NA,18,11,NA,NA,20,14,8261,NA,41786,41,NA
Washington,144809,29.7,18.3,8,32,270.3,5,53.4,17,8,16,13,25,14,8814,15,45305,31,1
Cache,115520,30.9,8.2,6,41,206.3,3.7,50.2,16,9,10,9,20,9,8536,12,47609,27,NA
